date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:48:10	21430/21430	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-53b6%22	http://docs.donkeycar.com/parts/rc_hat/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/parts/rc_hat/index.html	(from http://docs.donkeycar.com/)
09:48:10	22649/22649	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-5879%22	http://docs.donkeycar.com/parts/keras/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/parts/keras/index.html	(from http://docs.donkeycar.com/)
09:48:10	11112/11112	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-2b68%22	http://docs.donkeycar.com/parts/stores/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/parts/stores/index.html	(from http://docs.donkeycar.com/)
09:48:11	11788/11788	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-2e0c%22	http://docs.donkeycar.com/parts/fastai/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/parts/fastai/index.html	(from http://docs.donkeycar.com/)
09:48:11	5075/5075	---M-Z	200	added ('OK')	application/javascript	etag:W/%22637696c1-13d3%22	http://docs.donkeycar.com/js/theme.js	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/js/theme.js	(from http://docs.donkeycar.com/)
09:48:11	13332/13332	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-3414%22	http://docs.donkeycar.com/parts/imu/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/parts/imu/index.html	(from http://docs.donkeycar.com/)
09:48:11	13144/13144	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-3358%22	http://docs.donkeycar.com/parts/lidar/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/parts/lidar/index.html	(from http://docs.donkeycar.com/)
09:48:12	13725/13725	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-359d%22	http://docs.donkeycar.com/parts/oled/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/parts/oled/index.html	(from http://docs.donkeycar.com/)
09:48:12	20355/20355	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-4f83%22	http://docs.donkeycar.com/parts/pins/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/parts/pins/index.html	(from http://docs.donkeycar.com/)
09:48:13	14750/14750	---M-Z	200	added ('OK')	text/html	etag:W/%22637696c1-399e%22	http://docs.donkeycar.com/parts/voice_control/	C:/My%20Web%20Sites/Site_maia/docs.donkeycar.com/parts/voice_control/index.html	(from http://docs.donkeycar.com/)
